item,classid,amount
Clutch Case, 2727227113, 3
Danger Zone Case, 3106076656, 69
Prisma 2 Case, 3761545285, 3
Prisma Case, 3213411179, 2
Operation Broken Fang Case, 4114525951, 50
Spectrum 2 Case, 2521767801, 19
