item,classid,amount
Spectrum 2 Case, 2521767801, 789
Prisma Case, 3213411179, 15
Danger Zone Case, 3106076656, 18
Prisma 2 Case, 3761545285, 5
Operation Vanguard Weapon Case, 638240019, 1
Clutch Case, 2727227113, 15
CS20 Case, 3564864937, 6
Horizon Case, 2948874694, 11
Spectrum Case, 2209581061, 17
Glove Case, 2066632015, 14
Gamma 2 Case, 1923037342, 12
Operation Breakout Weapon Case, 520025252, 14
Gamma Case, 1797256701, 17
Chroma Case, 720268538, 2
Falchion Case, 991959905, 15
Chroma 3 Case, 1690096482, 9
Chroma 2 Case, 926978479, 11
Operation Wildfire Case, 1544067968, 22
Revolver Case, 1432174707, 7
